Pid,Player,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,PC_Total,PA_Total
P1,Gianluigi Buffon,0,3,1,1,0,4,2,3,6,0,1,0,1,0,22,24
P2,Giorgio Chiellini,3,0,3,3,2,11,0,3,3,2,1,0,4,1,36,40
P3,Miralem Pjanic,0,6,0,7,2,6,2,1,4,5,9,0,0,0,42,49
P4,Sami Khedira,1,4,7,0,3,2,0,9,4,2,1,0,1,0,34,36
P5,Gonzalo Higuaín,0,1,1,1,0,0,1,3,1,1,2,0,0,0,11,15
P6,Alex Sandro,0,3,4,9,1,0,0,9,1,3,0,0,2,0,32,40
P7,Andrea Barzagli,0,1,5,1,0,1,0,0,4,4,4,0,0,0,20,23
P8,Mario Mandžukic,0,1,5,4,5,8,0,0,0,0,3,0,1,0,27,34
P9,Leonardo Bonucci,3,5,2,4,3,5,3,2,0,3,7,1,4,0,42,50
P10,Paulo Dybala,0,1,4,1,1,0,4,1,2,0,7,1,0,0,22,27
P11,Dani Alves,0,1,8,1,3,1,4,2,1,12,0,3,3,1,40,48
P12,Juan Cuadrado,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,4
P13,Claudio Marchisio,0,2,0,1,0,3,0,0,5,0,3,0,0,3,17,22
P14,Mario Lemina,0,0,0,1,0,1,0,1,0,0,0,1,2,0,6,6
