;Mean;SD;Min;Max
Number of Passes;386.25;136.93;121.00;876.00
Diameter;6.04;1.47;3.00;10.00
Largest Clique;8.10;1.05;5.00;11.00
Countmax Cliques;6.36;3.42;1.00;20.00
Reciprocity;0.75;0.09;0.42;0.94
Global Clustering;0.82;0.06;0.59;0.93
Diversity;0.92;0.02;0.88;0.95
Centralization Betweenness;0.04;0.02;0.01;0.15
Centralization Closeness;0.17;0.05;0.08;0.30
Centralization Degree;0.19;0.05;0.06;0.39
Centralization Eigenvalue;0.20;0.06;0.08;0.39
Hub;0.72;0.11;0.40;0.95
Authority;0.77;0.11;0.45;0.96
Pagerank;0.11;0.01;0.10;0.14
Assortativity;-0.17;0.06;-0.31;0.03
Average Neighborhood;17.20;2.13;12.40;25.09
